,index,product_id,description,details,name,brand_category,attribute_name,attribute_value
68376,40285,01DS421D87FJ779DTTNP9KRRRP,made ribbed knit natural stretch ultra slimming fit mara hoffman chiara bodysuit feature elasticized gathered neck voluminous sleeve styled shoulder pair high waisted pant instantly elongated look,woman clothing top,chiara ribbed knit bodysuit,woman clothing top,category,top
68790,40682,01DT516BRMMMQV5HC7F9TD152S,beige washed stretch silk satin slip silk spandex hand wash designer color fawn imported,lingerie camisole chemise camisole,tara draped washed stretch silk satin camisole,lingerie camisole chemise camisole,category,top
69764,41634,01DS4823BNGK7AB443EHAEKYTB,sustainably minded womenswear brand nanushka craft entire line leather offering vegan fabric seen cancun blazer distinguished impeccable tailoring designed slightly oversized fit two wooden button fastening front add bit edge floral printed mini,woman clothing jacket,cancun faux leather blazer,woman clothing jacket,category,blazerscoatsjackets
69772,41634,01DS4823BNGK7AB443EHAEKYTB,sustainably minded womenswear brand nanushka craft entire line leather offering vegan fabric seen cancun blazer distinguished impeccable tailoring designed slightly oversized fit two wooden button fastening front add bit edge floral printed mini,woman clothing jacket,cancun faux leather blazer,woman clothing jacket,category,blazerscoatsjackets
69801,41639,01DS1KYW40NW01Q5ZCN4B313B4,perfect mix sheer structured nanushka tuscan coat intricately tailored double breasted trench silhouette elongated midi length exaggerated front patch pocket style detachable belt enhance feminine shape,woman clothing jacket,tuscan double breasted sheer trench coat,woman clothing jacket,category,blazerscoatsjackets
69823,41639,01DS1KYW40NW01Q5ZCN4B313B4,perfect mix sheer structured nanushka tuscan coat intricately tailored double breasted trench silhouette elongated midi length exaggerated front patch pocket style detachable belt enhance feminine shape,woman clothing jacket,tuscan double breasted sheer trench coat,woman clothing jacket,category,blazerscoatsjackets
69927,41711,01DT0DJTYJ19G9VGMWKZCTH087,slouchy leather tote mini zippered pouch perfectly chic way carry essential,handbag handbag tote,leather shopper,handbag handbag tote,category,accessory
69928,41711,01DT0DJTYJ19G9VGMWKZCTH087,slouchy leather tote mini zippered pouch perfectly chic way carry essential,handbag handbag tote,leather shopper,handbag handbag tote,category,accessory
69929,41711,01DT0DJTYJ19G9VGMWKZCTH087,slouchy leather tote mini zippered pouch perfectly chic way carry essential,handbag handbag tote,leather shopper,handbag handbag tote,category,accessory
70082,41846,01DPEKHK88KWY43K7YKC3TPZAJ,meet pointy toe version favorite everyday ankle boot hit exact right height also great soft suede walkable block heel,shoe,pointed toe sadie boot suede,shoe,category,shoe
70095,41846,01DPEKHK88KWY43K7YKC3TPZAJ,meet pointy toe version favorite everyday ankle boot hit exact right height also great soft suede walkable block heel,shoe,pointed toe sadie boot suede,shoe,category,shoe
70155,41889,01DVP7N1R4T6HP6D8WC6H0KTPX,heel measure approximately mm inch beige linen slip made italy,shoe pump mid heel,rosendo linen mule,shoe pump mid heel,category,shoe
70173,41889,01DVP7N1R4T6HP6D8WC6H0KTPX,heel measure approximately mm inch beige linen slip made italy,shoe pump mid heel,rosendo linen mule,shoe pump mid heel,category,shoe
70200,41898,01DS1D43BF1KEKSP1XACPKTCS0,classic leather midi skirt worthwhile investment nili lotan lila style worn season come designed sit high waistline cut supple leather flattering line silhouette use ring fastening waist belt keep top neatly tucked inside,woman clothing skirt,lila belted leather midi skirt,woman clothing skirt,category,bottom
70210,41898,01DS1D43BF1KEKSP1XACPKTCS0,classic leather midi skirt worthwhile investment nili lotan lila style worn season come designed sit high waistline cut supple leather flattering line silhouette use ring fastening waist belt keep top neatly tucked inside,woman clothing skirt,lila belted leather midi skirt,woman clothing skirt,category,bottom
70249,41904,01DSP4J1Y588E3MW2DMK0HDNW4,pairing soft knit wool blend shawl plush fox fur collar incredibly cozy luxurious piece,jewelry accessories accessory boleros jackets vests,samantha fox fur collar wrap,jewelry accessories accessory boleros jackets vests,category,sweater
70250,41904,01DSP4J1Y588E3MW2DMK0HDNW4,pairing soft knit wool blend shawl plush fox fur collar incredibly cozy luxurious piece,jewelry accessories accessory boleros jackets vests,samantha fox fur collar wrap,jewelry accessories accessory boleros jackets vests,category,sweater
70251,41904,01DSP4J1Y588E3MW2DMK0HDNW4,pairing soft knit wool blend shawl plush fox fur collar incredibly cozy luxurious piece,jewelry accessories accessory boleros jackets vests,samantha fox fur collar wrap,jewelry accessories accessory boleros jackets vests,category,sweater
70297,41904,01DSP4J1Y588E3MW2DMK0HDNW4,pairing soft knit wool blend shawl plush fox fur collar incredibly cozy luxurious piece,jewelry accessories accessory boleros jackets vests,samantha fox fur collar wrap,jewelry accessories accessory boleros jackets vests,category,sweater
70301,41904,01DSP4J1Y588E3MW2DMK0HDNW4,pairing soft knit wool blend shawl plush fox fur collar incredibly cozy luxurious piece,jewelry accessories accessory boleros jackets vests,samantha fox fur collar wrap,jewelry accessories accessory boleros jackets vests,category,sweater
70320,41904,01DSP4J1Y588E3MW2DMK0HDNW4,pairing soft knit wool blend shawl plush fox fur collar incredibly cozy luxurious piece,jewelry accessories accessory boleros jackets vests,samantha fox fur collar wrap,jewelry accessories accessory boleros jackets vests,category,sweater
70350,41924,01DT0C8FVZJ77EEMXPSKD0VG3A,tibi anson stretch pant designed slim fit leg ankle length slit front overall tailored fit pair brand sculpted soft drape bias dress mirror pre fall lookbook style,woman clothing pant,anson crepe slim fit pant,woman clothing pant,category,bottom
70363,41924,01DT0C8FVZJ77EEMXPSKD0VG3A,tibi anson stretch pant designed slim fit leg ankle length slit front overall tailored fit pair brand sculpted soft drape bias dress mirror pre fall lookbook style,woman clothing pant,anson crepe slim fit pant,woman clothing pant,category,bottom
70395,41927,01DPER92JE6VQ6MBA6T7SC4HTK,drumroll please introducing first ever sneaker took time get right right price classic white leather upper supercushy supportive insole plus detail make totally unique like u leopard print tab heel bonus every pair come white black lace switch thing depending mood outfit minimalist design work everything duty sweat summer dress,shoe,saturday sneaker leopard calf hair detail,shoe,category,shoe
70402,41927,01DPER92JE6VQ6MBA6T7SC4HTK,drumroll please introducing first ever sneaker took time get right right price classic white leather upper supercushy supportive insole plus detail make totally unique like u leopard print tab heel bonus every pair come white black lace switch thing depending mood outfit minimalist design work everything duty sweat summer dress,shoe,saturday sneaker leopard calf hair detail,shoe,category,shoe
70441,41936,01DT0C92GHR9D8YBN424GFZZJP,made soft lightweight knitted fabric maximum warmth coziness perfect lounging around house best made matching hoodie go full comfy chic,sweatshirt sweatpants,supercozy fleece sweatpant camo,sweatshirt sweatpants,category,bottom
70445,41936,01DT0C92GHR9D8YBN424GFZZJP,made soft lightweight knitted fabric maximum warmth coziness perfect lounging around house best made matching hoodie go full comfy chic,sweatshirt sweatpants,supercozy fleece sweatpant camo,sweatshirt sweatpants,category,bottom
70481,41937,01DT0DKRTN0MM6D2SFWMW4QJHP,minimalist mule pronounced point toe structural piece,shoe shoe mules slides,rav leather mule,shoe shoe mules slides,category,shoe
70493,41937,01DT0DKRTN0MM6D2SFWMW4QJHP,minimalist mule pronounced point toe structural piece,shoe shoe mules slides,rav leather mule,shoe shoe mules slides,category,shoe
70518,41938,01DT0DJ11WJ7J7SZMB81SB7YKT,dazzling metallic leather point toe pump lizard embossed finish,shoe shoe pumps slingbacks point toe shoe shoe pumps slingbacks pumps stilettos shoe shoe evening,love lizard embossed metallic leather pump,shoe shoe pumps slingbacks point toe shoe shoe pumps slingbacks pumps stilettos shoe shoe evening,category,shoe
70533,41938,01DT0DJ11WJ7J7SZMB81SB7YKT,dazzling metallic leather point toe pump lizard embossed finish,shoe shoe pumps slingbacks point toe shoe shoe pumps slingbacks pumps stilettos shoe shoe evening,love lizard embossed metallic leather pump,shoe shoe pumps slingbacks point toe shoe shoe pumps slingbacks pumps stilettos shoe shoe evening,category,shoe
70567,41939,01DT0C8NM9KG2EF0A286VZRETE,recast customer favorite scoopneck tank imagined silk loved style velvet last holiday imagined silk bluesign approved crafted pfgh leed certified facility whose manufacturing process us le water energy dyed without hazardous chemical,shirt top,tank top imagined silk,shirt top,category,top
70568,41939,01DT0C8NM9KG2EF0A286VZRETE,recast customer favorite scoopneck tank imagined silk loved style velvet last holiday imagined silk bluesign approved crafted pfgh leed certified facility whose manufacturing process us le water energy dyed without hazardous chemical,shirt top,tank top imagined silk,shirt top,category,top
70577,41939,01DT0C8NM9KG2EF0A286VZRETE,recast customer favorite scoopneck tank imagined silk loved style velvet last holiday imagined silk bluesign approved crafted pfgh leed certified facility whose manufacturing process us le water energy dyed without hazardous chemical,shirt top,tank top imagined silk,shirt top,category,top
70590,41939,01DT0C8NM9KG2EF0A286VZRETE,recast customer favorite scoopneck tank imagined silk loved style velvet last holiday imagined silk bluesign approved crafted pfgh leed certified facility whose manufacturing process us le water energy dyed without hazardous chemical,shirt top,tank top imagined silk,shirt top,category,top
70614,41941,01DPKNGXXET3Y43K6M4RAMN6MW,buttoned hip length button front top v neckline slightly puffed shoulder loose sleeve cadence pair well serena high skinny jean,top,cadence top,top,category,top
70615,41941,01DPKNGXXET3Y43K6M4RAMN6MW,buttoned hip length button front top v neckline slightly puffed shoulder loose sleeve cadence pair well serena high skinny jean,top,cadence top,top,category,top
70661,41954,01DT0DHYKWMENWG4VKKSE0HA5P,timeless look chic structured short crafted rich leather giving moto feel summer piece,womens apparel short,fabot leather short,womens apparel short,category,bottom
70678,41954,01DT0DHYKWMENWG4VKKSE0HA5P,timeless look chic structured short crafted rich leather giving moto feel summer piece,womens apparel short,fabot leather short,womens apparel short,category,bottom
70692,41958,01DT0DJ7KHSNKSYJ2WGAWE7DJM,aurora collection giving modern grecian vibe metallic velvet dress boast draped ruched detail alluring dark silhouette,womens apparel dress going out womens apparel dress cocktail party,aurora emilia ruched metallic velvet dress,womens apparel dress going out womens apparel dress cocktail party,category,onepiece
70704,41958,01DT0DJ7KHSNKSYJ2WGAWE7DJM,aurora collection giving modern grecian vibe metallic velvet dress boast draped ruched detail alluring dark silhouette,womens apparel dress going out womens apparel dress cocktail party,aurora emilia ruched metallic velvet dress,womens apparel dress going out womens apparel dress cocktail party,category,onepiece
70750,41965,01DT0DHR8X5GZYR1KVBWAT3END,cut cinched waist design leather jacket framed understated piping,womens apparel coats jackets wa leather faux leather,madison single breasted leather jacket,womens apparel coats jackets wa leather faux leather,category,blazerscoatsjackets
70759,41965,01DT0DHR8X5GZYR1KVBWAT3END,cut cinched waist design leather jacket framed understated piping,womens apparel coats jackets wa leather faux leather,madison single breasted leather jacket,womens apparel coats jackets wa leather faux leather,category,blazerscoatsjackets
70793,41966,01DT0DJ46J58GZRGC57EDD1BPH,kate spade ruby boot add little edge wardrobe keeping feminine detail,shoe shoe booty shoe shoe boot ankle,ruby leather combat boot,shoe shoe booty shoe shoe boot ankle,category,shoe
70804,41966,01DT0DJ46J58GZRGC57EDD1BPH,kate spade ruby boot add little edge wardrobe keeping feminine detail,shoe shoe booty shoe shoe boot ankle,ruby leather combat boot,shoe shoe booty shoe shoe boot ankle,category,shoe
70839,41967,01DT0DJ5BPP4G237X5C47B1XM6,saks list luxe denim,womens apparel coats jackets wa denim jackets womens apparel jackets vests jacket old jackets vests denim jackets,celine distressed denim jacket,womens apparel coats jackets wa denim jackets womens apparel jackets vests jacket old jackets vests denim jackets,category,blazerscoatsjackets
70847,41967,01DT0DJ5BPP4G237X5C47B1XM6,saks list luxe denim,womens apparel coats jackets wa denim jackets womens apparel jackets vests jacket old jackets vests denim jackets,celine distressed denim jacket,womens apparel coats jackets wa denim jackets womens apparel jackets vests jacket old jackets vests denim jackets,category,blazerscoatsjackets
70929,41968,01DT0DHW8PXC8WCXMR7MJNCRH7,unknown token,shoe shoe mules slides,beya leather flat mule,shoe shoe mules slides,category,shoe
70930,41968,01DT0DHW8PXC8WCXMR7MJNCRH7,unknown token,shoe shoe mules slides,beya leather flat mule,shoe shoe mules slides,category,shoe
70931,41968,01DT0DHW8PXC8WCXMR7MJNCRH7,unknown token,shoe shoe mules slides,beya leather flat mule,shoe shoe mules slides,category,shoe
70932,41968,01DT0DHW8PXC8WCXMR7MJNCRH7,unknown token,shoe shoe mules slides,beya leather flat mule,shoe shoe mules slides,category,shoe
70933,41968,01DT0DHW8PXC8WCXMR7MJNCRH7,unknown token,shoe shoe mules slides,beya leather flat mule,shoe shoe mules slides,category,shoe
70954,41968,01DT0DHW8PXC8WCXMR7MJNCRH7,unknown token,shoe shoe mules slides,beya leather flat mule,shoe shoe mules slides,category,shoe
70981,41968,01DT0DHW8PXC8WCXMR7MJNCRH7,unknown token,shoe shoe mules slides,beya leather flat mule,shoe shoe mules slides,category,shoe
70989,41968,01DT0DHW8PXC8WCXMR7MJNCRH7,unknown token,shoe shoe mules slides,beya leather flat mule,shoe shoe mules slides,category,shoe
71014,41968,01DT0DHW8PXC8WCXMR7MJNCRH7,unknown token,shoe shoe mules slides,beya leather flat mule,shoe shoe mules slides,category,shoe
71022,41968,01DT0DHW8PXC8WCXMR7MJNCRH7,unknown token,shoe shoe mules slides,beya leather flat mule,shoe shoe mules slides,category,shoe
71033,41969,01DT0DK4AKMDZ2QVP8G9TQESEF,interwoven translucent insert two tone striped pump embody visual dimension,shoe shoe pumps slingbacks point toe shoe shoe evening,metallic stripe pvc leather pump,shoe shoe pumps slingbacks point toe shoe shoe evening,category,shoe
71051,41969,01DT0DK4AKMDZ2QVP8G9TQESEF,interwoven translucent insert two tone striped pump embody visual dimension,shoe shoe pumps slingbacks point toe shoe shoe evening,metallic stripe pvc leather pump,shoe shoe pumps slingbacks point toe shoe shoe evening,category,shoe
71077,41970,01DT0DJPHG2TW5DAP9CD215TJF,pebbled leather convertible bag topped signature dog clip,handbag handbag and under handbag handbag backpack,mini julian leather backpack,handbag handbag and under handbag handbag backpack,category,accessory
71081,41970,01DT0DJPHG2TW5DAP9CD215TJF,pebbled leather convertible bag topped signature dog clip,handbag handbag and under handbag handbag backpack,mini julian leather backpack,handbag handbag and under handbag handbag backpack,category,accessory
71104,41971,01DT0DJBAP0JMKQKSGCMWF8JTT,sleek faux leather midi skirt feature chic wrap silhouette finished simple knot hip,womens apparel skirt,amas vegan leather side tie midi skirt,womens apparel skirt,category,bottom
71114,41971,01DT0DJBAP0JMKQKSGCMWF8JTT,sleek faux leather midi skirt feature chic wrap silhouette finished simple knot hip,womens apparel skirt,amas vegan leather side tie midi skirt,womens apparel skirt,category,bottom
71144,41972,01DT0DJNHJPAH6SQ6NT94DC7ME,jean collection crossbody clutch convertible bag flaunt eye catching ombr alligator embossed finish,handbag handbag clutch handbag handbag crossbody bags,jean embossed leather convertible clutch,handbag handbag clutch handbag handbag crossbody bags,category,accessory
71156,41972,01DT0DJNHJPAH6SQ6NT94DC7ME,jean collection crossbody clutch convertible bag flaunt eye catching ombr alligator embossed finish,handbag handbag clutch handbag handbag crossbody bags,jean embossed leather convertible clutch,handbag handbag clutch handbag handbag crossbody bags,category,accessory
71175,41973,01DT0DJW9KH3TSSDJ4V5HB23KM,knit silk soft notch lapel jacket drape body elegantly,womens apparel coats jackets wa,merino wool blend cardigan jacket,womens apparel coats jackets wa,category,blazerscoatsjackets
71184,41973,01DT0DJW9KH3TSSDJ4V5HB23KM,knit silk soft notch lapel jacket drape body elegantly,womens apparel coats jackets wa,merino wool blend cardigan jacket,womens apparel coats jackets wa,category,sweater
71204,41973,01DT0DJW9KH3TSSDJ4V5HB23KM,knit silk soft notch lapel jacket drape body elegantly,womens apparel coats jackets wa,merino wool blend cardigan jacket,womens apparel coats jackets wa,category,blazerscoatsjackets
71214,41974,01DT0DJSS1Y0SYS1G2H13CC3Y5,unknown token,handbag handbag clutch handbag handbag top handles satchels handbag handbag clutch evening handbag best sellers handbag new popular best sellers handbag handbag evening,lilleth metal cage clutch,handbag handbag clutch handbag handbag top handles satchels handbag handbag clutch evening handbag best sellers handbag new popular best sellers handbag handbag evening,category,accessory
71231,41976,01DT0DJMGB47PSW7H695CJHXNT,soft tee printed cheeky retro style graphic,womens apparel tops shirts blouses t shirts tanks,cute classic cotton tee,womens apparel tops shirts blouses t shirts tanks,category,top
71253,41976,01DT0DJMGB47PSW7H695CJHXNT,soft tee printed cheeky retro style graphic,womens apparel tops shirts blouses t shirts tanks,cute classic cotton tee,womens apparel tops shirts blouses t shirts tanks,category,top
71283,41977,01DT0DJKARF1PZEAKQYQ828AWP,throw back cropped shirt fine ribbed texture back seam detail,womens apparel tops shirts blouses t shirts tanks,ribbed cap sleeve tee,womens apparel tops shirts blouses t shirts tanks,category,top
71284,41977,01DT0DJKARF1PZEAKQYQ828AWP,throw back cropped shirt fine ribbed texture back seam detail,womens apparel tops shirts blouses t shirts tanks,ribbed cap sleeve tee,womens apparel tops shirts blouses t shirts tanks,category,top
71300,41977,01DT0DJKARF1PZEAKQYQ828AWP,throw back cropped shirt fine ribbed texture back seam detail,womens apparel tops shirts blouses t shirts tanks,ribbed cap sleeve tee,womens apparel tops shirts blouses t shirts tanks,category,top
71311,41977,01DT0DJKARF1PZEAKQYQ828AWP,throw back cropped shirt fine ribbed texture back seam detail,womens apparel tops shirts blouses t shirts tanks,ribbed cap sleeve tee,womens apparel tops shirts blouses t shirts tanks,category,top
71345,41979,01DT0DKGDB174CJADZFDBAQRQG,smart cozy cropped sweater boast chunky knit stylish plaid motif,womens apparel fall dressing womens apparel sweater,ella plaid crop sweater,womens apparel fall dressing womens apparel sweater,category,sweater
71363,41979,01DT0DKGDB174CJADZFDBAQRQG,smart cozy cropped sweater boast chunky knit stylish plaid motif,womens apparel fall dressing womens apparel sweater,ella plaid crop sweater,womens apparel fall dressing womens apparel sweater,category,sweater
71379,41980,01DT0DK9CJ1J714HWQ3HHJGKNY,rich leather duffel bag edged signature metallic trim enhance structured style,handbag handbag luggage travel,small halo leather duffel bag,handbag handbag luggage travel,category,accessory
71391,41980,01DT0DK9CJ1J714HWQ3HHJGKNY,rich leather duffel bag edged signature metallic trim enhance structured style,handbag handbag luggage travel,small halo leather duffel bag,handbag handbag luggage travel,category,accessory
71400,41981,01DT0DKE89MPSJ8J44S5D9S9V5,saks crafted signature silk sandwash charmeuse shay detailed lace delicately veil deep v neckline hem,womens apparel saks exclusives womens apparel tops shirts blouses short sleeve womens apparel tops shirts blouses t shirts tanks,shay lace trim silk camisole,womens apparel saks exclusives womens apparel tops shirts blouses short sleeve womens apparel tops shirts blouses t shirts tanks,category,top
71418,41981,01DT0DKE89MPSJ8J44S5D9S9V5,saks crafted signature silk sandwash charmeuse shay detailed lace delicately veil deep v neckline hem,womens apparel saks exclusives womens apparel tops shirts blouses short sleeve womens apparel tops shirts blouses t shirts tanks,shay lace trim silk camisole,womens apparel saks exclusives womens apparel tops shirts blouses short sleeve womens apparel tops shirts blouses t shirts tanks,category,top
71436,41982,01DT0DJQQ3J6EAWSPMEYCY5AYB,curb chain trim detail mixed medium flat sandal crafted leopard print calf hair leather,shoe shoe sandal flat,heather c chain leopard print calf hair leather sandal,shoe shoe sandal flat,category,shoe
71465,41982,01DT0DJQQ3J6EAWSPMEYCY5AYB,curb chain trim detail mixed medium flat sandal crafted leopard print calf hair leather,shoe shoe sandal flat,heather c chain leopard print calf hair leather sandal,shoe shoe sandal flat,category,shoe
71478,41983,01DT0DKPYS0V248ETKRDE071N4,quilted denim crisscross strap adorn ultra comfy footbed slide,shoe shoe mules slides,holden denim slide,shoe shoe mules slides,category,shoe
71504,41983,01DT0DKPYS0V248ETKRDE071N4,quilted denim crisscross strap adorn ultra comfy footbed slide,shoe shoe mules slides,holden denim slide,shoe shoe mules slides,category,shoe
71516,41985,01DT0DK7AV6D33GRSR0SFXDH24,flaunting glossy liquid finish tank top flaunt provocative cowl design,womens apparel tops shirts blouses short sleeve,cowl satin tank top,womens apparel tops shirts blouses short sleeve,category,top
71534,41985,01DT0DK7AV6D33GRSR0SFXDH24,flaunting glossy liquid finish tank top flaunt provocative cowl design,womens apparel tops shirts blouses short sleeve,cowl satin tank top,womens apparel tops shirts blouses short sleeve,category,top
71556,41986,01DT0DKH3R63M6HP2DEM42T32S,crafted supple smooth leather shoulder bag feature structured silhouette utilitarian styling,handbag handbag shoulder bags handbag handbag crossbody bags,military leather box bag,handbag handbag shoulder bags handbag handbag crossbody bags,category,accessory
71569,41986,01DT0DKH3R63M6HP2DEM42T32S,crafted supple smooth leather shoulder bag feature structured silhouette utilitarian styling,handbag handbag shoulder bags handbag handbag crossbody bags,military leather box bag,handbag handbag shoulder bags handbag handbag crossbody bags,category,accessory
71595,41988,01DT0DKV5MQV3F6H56KZ0X8KAQ,classic rolling stone tongue graphic splayed across tee slouchy fit gentle distressing adding appeal,womens apparel tops shirts blouses t shirts tanks,rolling stone u tour tee,womens apparel tops shirts blouses t shirts tanks,category,top
71603,41988,01DT0DKV5MQV3F6H56KZ0X8KAQ,classic rolling stone tongue graphic splayed across tee slouchy fit gentle distressing adding appeal,womens apparel tops shirts blouses t shirts tanks,rolling stone u tour tee,womens apparel tops shirts blouses t shirts tanks,category,top
71633,41989,01DT0DM44B7515P3Q4D55E0TQA,striking snakeskin embossed finished knee high leather boot exude sleek elegance,shoe best sellers shoe shoe boot knee high,magalli knee high snakeskin embossed leather boot,shoe best sellers shoe shoe boot knee high,category,shoe
71647,41989,01DT0DM44B7515P3Q4D55E0TQA,striking snakeskin embossed finished knee high leather boot exude sleek elegance,shoe best sellers shoe shoe boot knee high,magalli knee high snakeskin embossed leather boot,shoe best sellers shoe shoe boot knee high,category,shoe
71694,41991,01DT0DM2ZFCWSBKZ19W8WGPBQN,crafted calfskin metallic shoulder bag flaunt matelass stitching goldtone logo hardware,jewelry accessories accessory wallets cases key rings wallets wristlets handbag handbag crossbody bags handbag handbag wallets cases wallets wristlets,small monogram matelass metallic leather wallet chain,jewelry accessories accessory wallets cases key rings wallets wristlets handbag handbag crossbody bags handbag handbag wallets cases wallets wristlets,category,accessory
71695,41991,01DT0DM2ZFCWSBKZ19W8WGPBQN,crafted calfskin metallic shoulder bag flaunt matelass stitching goldtone logo hardware,jewelry accessories accessory wallets cases key rings wallets wristlets handbag handbag crossbody bags handbag handbag wallets cases wallets wristlets,small monogram matelass metallic leather wallet chain,jewelry accessories accessory wallets cases key rings wallets wristlets handbag handbag crossbody bags handbag handbag wallets cases wallets wristlets,category,accessory
71697,41991,01DT0DM2ZFCWSBKZ19W8WGPBQN,crafted calfskin metallic shoulder bag flaunt matelass stitching goldtone logo hardware,jewelry accessories accessory wallets cases key rings wallets wristlets handbag handbag crossbody bags handbag handbag wallets cases wallets wristlets,small monogram matelass metallic leather wallet chain,jewelry accessories accessory wallets cases key rings wallets wristlets handbag handbag crossbody bags handbag handbag wallets cases wallets wristlets,category,accessory
71713,41991,01DT0DM2ZFCWSBKZ19W8WGPBQN,crafted calfskin metallic shoulder bag flaunt matelass stitching goldtone logo hardware,jewelry accessories accessory wallets cases key rings wallets wristlets handbag handbag crossbody bags handbag handbag wallets cases wallets wristlets,small monogram matelass metallic leather wallet chain,jewelry accessories accessory wallets cases key rings wallets wristlets handbag handbag crossbody bags handbag handbag wallets cases wallets wristlets,category,accessory
71748,41992,01DT0DM5A4QD09MG77J4SXYY0Q,bohemian design combine rich paisley print graphic lace trim,womens apparel tops shirts blouses blouse,pascale printed peasant top,womens apparel tops shirts blouses blouse,category,top
71768,41992,01DT0DM5A4QD09MG77J4SXYY0Q,bohemian design combine rich paisley print graphic lace trim,womens apparel tops shirts blouses blouse,pascale printed peasant top,womens apparel tops shirts blouses blouse,category,top
71790,41994,01DT0DKWBET6S1K8V78BAF01BV,snipping silhouette classic hooded sweatshirt designer chitose abe refreshes look oversize fit act perfect canvas chunky zip asymmetry mismatched pocket,womens apparel sweatshirt,sponge sweat hoodie,womens apparel sweatshirt,category,sweatshirthoodie
71799,41994,01DT0DKWBET6S1K8V78BAF01BV,snipping silhouette classic hooded sweatshirt designer chitose abe refreshes look oversize fit act perfect canvas chunky zip asymmetry mismatched pocket,womens apparel sweatshirt,sponge sweat hoodie,womens apparel sweatshirt,category,sweatshirthoodie
71930,42105,01DT519Q6FWR89D0FSWVS6Y09C,heel measure approximately mm inch black faille slip imported small size see size fit note,shoe pump mid heel,carine faille mule,shoe pump mid heel,category,shoe
71944,42105,01DT519Q6FWR89D0FSWVS6Y09C,heel measure approximately mm inch black faille slip imported small size see size fit note,shoe pump mid heel,carine faille mule,shoe pump mid heel,category,shoe
71986,42126,01DT2D39XSRFC204J231X3C7XK,great coat need build solid foundation outerwear frame belted camel coat worthy addition closet made durable double faced cotton relaxed menswear inspired appeal look good left open cinched closed layer neutral separate failsafe ensemble,woman clothing coat,belted double faced cotton coat,woman clothing coat,category,blazerscoatsjackets
72003,42126,01DT2D39XSRFC204J231X3C7XK,great coat need build solid foundation outerwear frame belted camel coat worthy addition closet made durable double faced cotton relaxed menswear inspired appeal look good left open cinched closed layer neutral separate failsafe ensemble,woman clothing coat,belted double faced cotton coat,woman clothing coat,category,blazerscoatsjackets
72024,42127,01DT2CZJ0PNR61AEX3XYNXMS37,little liffner two way tulip tote crafted asymmetrical silhouette dual top handle open top style includes optional crossbody strap,woman bag tote,two way tulip large leather tote,woman bag tote,category,accessory
72040,42127,01DT2CZJ0PNR61AEX3XYNXMS37,little liffner two way tulip tote crafted asymmetrical silhouette dual top handle open top style includes optional crossbody strap,woman bag tote,two way tulip large leather tote,woman bag tote,category,accessory
72066,42128,01DT2DA9XY52F7XQH552ZJW43K,far juxtaposes color texture inspired jamie mini bag crafted duchesse satin glossy croc effect leather shoulder strap base enough room inside cardholder cell phone sunglass plenty pouch pocket stowing smaller item,woman bag shoulder bag,jamie mini duchesse satin croc effect leather shoulder bag,woman bag shoulder bag,category,accessory
72075,42128,01DT2DA9XY52F7XQH552ZJW43K,far juxtaposes color texture inspired jamie mini bag crafted duchesse satin glossy croc effect leather shoulder strap base enough room inside cardholder cell phone sunglass plenty pouch pocket stowing smaller item,woman bag shoulder bag,jamie mini duchesse satin croc effect leather shoulder bag,woman bag shoulder bag,category,accessory
72096,42129,01DT37D41EPRV5191NSVFE09E4,commute style givenchy slide made durable rubber matte black pair feature brand moniker scrawled across front falling line season love logo slip long haul flight,woman shoe sandal,printed rubber slide,woman shoe sandal,category,shoe
72116,42129,01DT37D41EPRV5191NSVFE09E4,commute style givenchy slide made durable rubber matte black pair feature brand moniker scrawled across front falling line season love logo slip long haul flight,woman shoe sandal,printed rubber slide,woman shoe sandal,category,shoe
72135,42130,01DT2D39AP6T64ZA88WEPQ1C3K,bag brand by far launched handbag business enormous success megahit footwear miranda style crafted trend mini silhouette croc effect leather nutella hue front flap open moderately sized interior fit cell beauty essential,woman bag shoulder bag,miranda croc effect leather shoulder bag,woman bag shoulder bag,category,accessory
72144,42130,01DT2D39AP6T64ZA88WEPQ1C3K,bag brand by far launched handbag business enormous success megahit footwear miranda style crafted trend mini silhouette croc effect leather nutella hue front flap open moderately sized interior fit cell beauty essential,woman bag shoulder bag,miranda croc effect leather shoulder bag,woman bag shoulder bag,category,accessory
72166,42131,01DT2D3CE9PPPBBW8NYCZXMF6P,influenced bold shape color modern architecture danse lente phoebe bi bag crafted two tone croc effect leather circular tab nestled along front gold tone hardware inspired binding spiral notebook carry slender top handle crossbody adjustable shoulder strap,woman bag shoulder bag,phoebe bi two tone croc effect leather bag,woman bag shoulder bag,category,accessory
72174,42131,01DT2D3CE9PPPBBW8NYCZXMF6P,influenced bold shape color modern architecture danse lente phoebe bi bag crafted two tone croc effect leather circular tab nestled along front gold tone hardware inspired binding spiral notebook carry slender top handle crossbody adjustable shoulder strap,woman bag shoulder bag,phoebe bi two tone croc effect leather bag,woman bag shoulder bag,category,accessory
72192,42132,01DT50S3HQCKVH9NSXVDA7WW3S,olive green mohair blend slip mohair acrylic hand wash dry clean designer color sap imported,clothing knitwear heavy knit,nicholas ribbed mohair blend turtleneck sweater,clothing knitwear heavy knit,category,sweater
